frame_number,frame_time,frame_len,eth_src,eth_dst,eth_type,ip_version,ip_src,ip_dst,ip_hl,ip_len,ip_proto,ip_ttl,tcp_srcport,tcp_dstport,tcp_seq,tcp_ack,tcp_len,tcp_flags
45,"Feb  9, 2024 16:19:36.752428000 Central Standard Time",76,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,62,17,64,,,,,,
46,"Feb  9, 2024 16:19:36.752482000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,60,6,64,43360,443,0,0,0,0x0002
47,"Feb  9, 2024 16:19:36.752728000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,3.93.209.69,20,60,6,64,39195,443,0,0,0,0x0002
48,"Feb  9, 2024 16:19:36.752808000 Central Standard Time",95,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,81,17,64,,,,,,
49,"Feb  9, 2024 16:19:36.752962000 Central Standard Time",76,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,10.0.5.1,20,62,17,64,,,,,,
50,"Feb  9, 2024 16:19:36.753045000 Central Standard Time",46,36:cd:80:d9:58:3d,01:00:5e:00:00:fb,0x0800,4,10.0.5.220,224.0.0.251,20,32,17,1,,,,,,
51,"Feb  9, 2024 16:19:36.753589000 Central Standard Time",143,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,129,17,64,,,,,,
52,"Feb  9, 2024 16:19:36.755512000 Central Standard Time",74,36:cd:80:d9:58:3d,b8:27:eb:59:60:d1,0x0800,4,10.0.5.220,52.72.179.74,20,60,6,64,43364,443,0,0,0,0x0002
53,"Feb  9, 2024 16:19:36.756457000 Central Standard Time",204,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,190,17,64,,,,,,
54,"Feb  9, 2024 16:19:36.756598000 Central Standard Time",204,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,10.0.5.1,10.0.5.220,20,190,17,64,,,,,,
55,"Feb  9, 2024 16:19:36.764359000 Central Standard Time",54,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,40,6,236,443,38993,1,0,0,0x0004
56,"Feb  9, 2024 16:19:36.765732000 Central Standard Time",54,b8:27:eb:59:60:d1,36:cd:80:d9:58:3d,0x0800,4,3.93.209.69,10.0.5.220,20,40,6,236,443,38987,1,0,0,0x0004
